entry_time,type,pnl,status
2025-04-21 14:00:00,LONG,-2.0,LOSS
2025-04-23 13:00:00,LONG,-2.0,LOSS
2025-04-23 17:00:00,LONG,-2.0,LOSS
2025-04-29 14:30:00,LONG,-2.0,LOSS
2025-04-29 16:15:00,LONG,-2.0,LOSS
2025-05-05 17:15:00,LONG,-2.0,LOSS
2025-05-06 14:30:00,LONG,4.0,WIN
2025-05-07 13:30:00,LONG,-2.0,LOSS
2025-05-08 14:30:00,LONG,4.0,WIN
2025-05-09 13:30:00,LONG,-2.0,LOSS
2025-05-15 15:30:00,LONG,4.0,WIN
2025-05-16 13:45:00,LONG,-2.0,LOSS
2025-05-16 15:00:00,LONG,-2.0,LOSS
2025-05-19 14:00:00,LONG,4.0,WIN
2025-05-20 15:45:00,LONG,4.0,WIN
2025-05-21 13:30:00,LONG,4.0,WIN
2025-05-26 15:30:00,LONG,-2.0,LOSS
2025-05-27 15:30:00,LONG,-2.0,LOSS
2025-06-11 12:45:00,LONG,-2.0,LOSS
2025-06-12 14:45:00,LONG,-2.0,LOSS
2025-06-12 16:15:00,LONG,-2.0,LOSS
2025-06-13 14:15:00,SHORT,-2.0,LOSS
2025-06-13 15:00:00,LONG,-2.0,LOSS
2025-06-16 13:45:00,LONG,-2.0,LOSS
2025-06-18 14:15:00,LONG,-2.0,LOSS
2025-06-18 16:15:00,SHORT,-2.0,LOSS
2025-06-23 16:00:00,SHORT,4.0,WIN
2025-06-24 14:15:00,LONG,4.0,WIN
2025-06-27 15:45:00,LONG,-2.0,LOSS
2025-07-01 14:00:00,LONG,-2.0,LOSS
2025-07-03 13:30:00,LONG,-2.0,LOSS
2025-07-08 17:15:00,LONG,-2.0,LOSS
2025-07-10 14:45:00,LONG,4.0,WIN
2025-07-15 13:00:00,LONG,-2.0,LOSS
2025-07-16 14:45:00,LONG,-2.0,LOSS
2025-07-17 14:15:00,LONG,4.0,WIN
2025-07-21 14:15:00,LONG,-2.0,LOSS
2025-07-22 17:30:00,LONG,-2.0,LOSS
2025-07-23 15:45:00,LONG,-2.0,LOSS
2025-07-24 14:45:00,LONG,-2.0,LOSS
2025-07-25 17:00:00,LONG,4.0,WIN
2025-07-29 12:30:00,LONG,-2.0,LOSS
2025-07-30 14:45:00,LONG,-2.0,LOSS
2025-07-31 16:30:00,LONG,-2.0,LOSS
2025-08-01 13:45:00,SHORT,-2.0,LOSS
2025-08-01 14:15:00,LONG,-2.0,LOSS
2025-08-01 17:00:00,SHORT,4.0,WIN
2025-08-05 12:30:00,SHORT,-2.0,LOSS
2025-08-06 13:00:00,SHORT,-2.0,LOSS
2025-08-08 13:30:00,LONG,-2.0,LOSS
2025-08-12 12:45:00,LONG,-2.0,LOSS
2025-08-19 14:00:00,SHORT,4.0,WIN
2025-08-20 13:00:00,SHORT,4.0,WIN
2025-08-21 14:30:00,SHORT,4.0,WIN
2025-08-26 15:30:00,SHORT,-2.0,LOSS
2025-08-28 14:15:00,SHORT,-2.0,LOSS
2025-08-28 15:15:00,SHORT,-2.0,LOSS
2025-08-29 13:30:00,SHORT,4.0,WIN
2025-09-01 15:30:00,SHORT,-2.0,LOSS
2025-09-05 14:15:00,SHORT,-2.0,LOSS
2025-09-09 13:15:00,LONG,-2.0,LOSS
2025-09-11 13:45:00,LONG,-2.0,LOSS
2025-09-12 14:15:00,LONG,-2.0,LOSS
2025-09-12 14:45:00,LONG,4.0,WIN
2025-09-16 15:45:00,LONG,4.0,WIN
2025-09-22 15:30:00,SHORT,4.0,WIN
2025-09-26 14:30:00,SHORT,-2.0,LOSS
2025-09-30 14:45:00,LONG,-2.0,LOSS
2025-09-30 15:15:00,SHORT,-2.0,LOSS
2025-10-13 14:15:00,SHORT,-2.0,LOSS
2025-10-14 15:00:00,SHORT,-2.0,LOSS
2025-10-16 13:45:00,SHORT,4.0,WIN
2025-10-20 16:30:00,SHORT,-2.0,LOSS
2025-10-22 17:30:00,SHORT,-2.0,LOSS
2025-10-24 13:30:00,SHORT,-2.0,LOSS
2025-10-27 16:30:00,LONG,-2.0,LOSS
2025-10-29 14:00:00,SHORT,4.0,WIN
2025-10-31 16:45:00,SHORT,-2.0,LOSS
2025-11-03 15:15:00,SHORT,-2.0,LOSS
2025-11-10 14:30:00,SHORT,4.0,WIN
2025-11-12 15:00:00,SHORT,4.0,WIN
2025-11-19 14:15:00,SHORT,-2.0,LOSS
2025-11-19 15:30:00,SHORT,4.0,WIN
2025-11-21 16:00:00,SHORT,-2.0,LOSS
2025-11-25 13:30:00,SHORT,4.0,WIN
2025-11-27 12:30:00,SHORT,4.0,WIN
2025-11-28 16:45:00,SHORT,-2.0,LOSS
2025-12-03 14:00:00,SHORT,-2.0,LOSS
2025-12-09 14:30:00,SHORT,-2.0,LOSS
2025-12-17 16:30:00,SHORT,-2.0,LOSS
2025-12-18 17:00:00,SHORT,-2.0,LOSS
2025-12-19 17:15:00,SHORT,-2.0,LOSS
2025-12-22 15:30:00,SHORT,-2.0,LOSS
2025-12-23 14:30:00,SHORT,4.0,WIN
2025-12-24 14:45:00,SHORT,-2.0,LOSS
2025-12-26 14:45:00,SHORT,-2.0,LOSS
2025-12-31 14:45:00,SHORT,-2.0,LOSS
2026-01-02 14:15:00,SHORT,-2.0,LOSS
2026-01-05 14:30:00,LONG,4.0,WIN
2026-01-08 15:15:00,LONG,4.0,WIN
2026-01-09 14:00:00,SHORT,-2.0,LOSS
2026-01-12 15:15:00,LONG,4.0,WIN
2026-01-13 14:15:00,LONG,4.0,WIN
2026-01-14 14:00:00,LONG,4.0,WIN
2026-01-16 14:15:00,LONG,-2.0,LOSS
2026-01-19 16:15:00,LONG,-2.0,LOSS
2026-01-21 16:45:00,SHORT,-2.0,LOSS
2026-01-22 13:30:00,SHORT,4.0,WIN
2026-01-23 14:45:00,SHORT,-2.0,LOSS
2026-01-26 16:00:00,SHORT,-2.0,LOSS
2026-01-27 14:30:00,SHORT,-2.0,LOSS
2026-01-27 17:30:00,SHORT,-2.0,LOSS
2026-01-28 15:15:00,SHORT,-2.0,LOSS
2026-02-10 14:30:00,SHORT,-2.0,LOSS
2026-02-11 15:00:00,SHORT,-2.0,LOSS
2026-02-12 15:00:00,SHORT,-2.0,LOSS
2026-02-16 13:45:00,SHORT,-2.0,LOSS
2026-02-20 17:15:00,SHORT,-2.0,LOSS
2026-03-10 13:00:00,LONG,-2.0,LOSS
2026-03-10 15:00:00,LONG,-2.0,LOSS
2026-03-12 14:30:00,SHORT,-2.0,LOSS
